id,"name",part
1,"1 Huan",2
2,"1 Korintionan",2
3,"1 Pedro",2
4,"1 Tesalonisensenan",2
5,"1 Timoteo",2
6,"1 Kronikonan",1
7,"1 Reinan",1
8,"1 Samuel",1
9,"2 Korintionan",2
10,"2 Pedro",2
11,"2 Tesalonisensenan",2
12,"2 Timoteo",2
13,"2 Kronikonan",1
14,"2 Reinan",1
15,"2 Samuel",1
16,"Abdias",1
17,"Amos",1
18,"Daniel",1
19,"Deuteronomio",1
20,"Echonan",2
21,"Efesionan",2
22,"Predikador",1
23,"Eksodo",1
24,"Esdras",1
25,"Ester",1
26,"Ezikiel",1
27,"Filemon",2
28,"Filipensenan",2
29,"Galatanan",2
30,"Genesis",1
31,"Habakuk",1
32,"Hagai",1
33,"Hakobo",2
34,"Hebreonan",2
35,"Huan",2
36,"Huesnan",1
37,"Isaias",1
38,"Yeremias",1
39,"Job",1
40,"Yoel",1
41,"Yonas",1
42,"Yozue",1
43,"E Kanto di tur Kanto",1
44,"Kolosensenan",2
45,"Lamentashonnan",1
46,"Levitiko",1
47,"Lukas",2
48,"Malakias",1
49,"Marko",2
50,"Mateo",2
51,"Mikeas",1
52,"Nahum",1
53,"Nehemias",1
54,"Numbernan",1
55,"Hoseas",1
56,"Proverbionan",1
57,"Revelashon",2
58,"Romanonan",2
59,"Ruth",1
60,"Salmonan",1
61,"Sofonias",1
62,"Tito",2
63,"Zakarias",1
64,"2 Huan",2
65,"3 Huan",2
66,"Hudas",2
